"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"EL DORADO",12.3453255690877,36752,3.16445363517632,34.556146126793,0.518039834566826,0.481960165433174,0.578522062732589,0.421477937267411,0.047953216374269,0.952046783625731,"2203","SAN MARTIN"
"ESPINAR",15.5874102681376,57582,67.397797922962,29.6882909445302,0.512955437463096,0.487044562536904,0.484194053208138,0.515805946791862,0.0451225873761085,0.954877412623891,"0808","CUSCO"
"FERREÑAFE",14.7294219420313,97415,22.0058512549402,23.2359708128284,0.487265821485398,0.512734178514602,0.42767790409504,0.57232209590496,0.149522048699894,0.850477951300106,"1402","LAMBAYEQUE"
"GRAN CHIMU",11.021666284588,26892,0.621002528633051,26.3997966588789,0.524356686003272,0.475643313996728,0.824978012313105,0.175021987686895,0.0324161326799849,0.967583867320015,"1311","LA LIBERTAD"
"GRAU",19.7531043489161,21242,82.6664155917522,34.2072074740992,0.498540627059599,0.501459372940401,0.879092514603994,0.120907485396006,0.00393968210840918,0.996060317891591,"0307","APURIMAC"
"HUACAYBAMBA",19.9070044462664,16551,79.1130445290315,30.0981622894887,0.491873602803456,0.508126397196544,0.841094032549729,0.158905967450271,0.00791139240506329,0.992088607594937,"1004","HUANUCO"
"HUALGAYOC",21.0530256284813,77944,0.964795237606487,30.9477019740077,0.481987067638304,0.518012932361696,0.765605947370491,0.234394052629509,0.0405144947488495,0.959485505251151,"0607","CAJAMARCA"
"HUALLAGA",7.29210577710362,27506,0.46171744346688,36.6493415520453,0.517850650767105,0.482149349232895,0.52518876098527,0.47481123901473,0.0319346453769031,0.968065354623097,"2204","SAN MARTIN"
"HUAMALIES",14.7170807746347,52039,56.8727300678337,26.6498788160104,0.491054785833702,0.508945214166298,0.728905543351854,0.271094456648146,0.0147951931774131,0.985204806822587,"1005","HUANUCO"
"HUAMANGA",16.7280301842057,282194,52.2757393849621,24.4034029362998,0.487547573655003,0.512452426344997,0.231058186185572,0.768941813814428,0.204661027777068,0.795338972222932,"0501","AYACUCHO"
"HUANCA SANCOS",18.8608074668208,8409,81.2106076822452,20.2289986602612,0.481151147579974,0.518848852420026,0.657613967022308,0.342386032977692,0.00323310701584222,0.996766892984158,"0503","AYACUCHO"
"HUANCABAMBA",21.1104874487826,111501,1.11120079640541,29.7961885805146,0.492614416014206,0.507385583985794,0.840375293197811,0.159624706802189,0.0283971853010164,0.971602814698984,"2003","PIURA"
